vid,var,0,10,943643,943646,943647,943650,943654,943658,943662,943666,943670,943674,943678,1969586,1969587,1969590,1969594,1969598,1969602,1969606,1969610,1969614,1969618,1969622,1969626,1969630,1969634,1969638,1969642,1969646,1969650,1969654,1969658,1969662,1969666,1969670,2951788,2951790,2951791,2951794,2951798,4500012
!,testbench.rQueryData[31:0],bx,bx,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10011,b10,b10,b10,b10,b10,b10
"""",testbench.dut_if0.checker_start,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b0,b10101,b10101,b1000000,b100000,b10000,b1000,b100,b10,b1,b0,b10011,b10011,b111010,b11101,b1011000,b101100,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10,b10,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b0,b10101,b10101,b1000000,b100000,b10000,b1000,b100,b10,b1,b0,b10011,b10011,b111010,b11101,b1011000,b101100,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10,b10,b1,b0,b0
