vid,var,0,10,524984,524986,524987,524990,524994,524998,525002,525006,525010,525014,525018,1580930,1580931,1580934,1580938,1580942,1580946,1580950,1580954,1580958,1580962,1580966,2559049,2559050,2559051,2559054,2559058,2559062,2559066,2559070,2559074,2559078,2559082,2559086,2559090,2559094,2559098,2559102,2559106,2559110,2559114,4500012
!,testbench.rQueryData[31:0],bx,bx,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111,b10111
"""",testbench.dut_if0.checker_start,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b0,b10101,b10101,b1000000,b100000,b10000,b1000,b100,b10,b1,b0,b110,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10111,b10111,b1000110,b100011,b1101010,b110101,b10100000,b1010000,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b0,b10101,b10101,b1000000,b100000,b10000,b1000,b100,b10,b1,b0,b110,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10111,b10111,b1000110,b100011,b1101010,b110101,b10100000,b1010000,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
