vid,var,0,10,302822,302823,302826,302830,302834,1292279,1292282,1292283,1292286,1292290,1292294,1292298,1292302,1292306,1292310,1292314,1292318,2253325,2253326,2253327,2253330,2253334,2253338,2253342,2253346,2253350,2253354,2253358,2253362,2253366,2253370,2253374,2253378,2253382,2253386,2253390,2253394,2253398,2253402,4500012
!,testbench.rQueryData[31:0],bx,bx,b100,b100,b100,b100,b100,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101,b11101
"""",testbench.dut_if0.checker_start,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b100,b100,b10,b1,b0,b0,b110,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b11101,b11101,b1011000,b101100,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b100,b100,b10,b1,b0,b0,b110,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b11101,b11101,b1011000,b101100,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
