vid,var,0,10,749533,749534,749535,749538,749542,749546,749550,749554,1734911,1734914,1734915,1734918,1734922,1734926,1734930,1734934,1734938,1734942,1734946,1734950,1734954,1734958,1734962,1734966,2777776,2777778,2777779,2777782,2777786,4500012
!,testbench.rQueryData[31:0],bx,bx,b10000,b10000,b10000,b10000,b10000,b10000,b10000,b10000,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10,b10,b10,b10,b10,b10
"""",testbench.dut_if0.checker_start,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b0,b10000,b10000,b1000,b100,b10,b1,b0,b0,b10001,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10,b10,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b0,b10000,b10000,b1000,b100,b10,b1,b0,b0,b10001,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10,b10,b1,b0,b0
