vid,var,0,10,170330,170331,170334,170338,170342,170346,170350,170354,170358,170362,170366,170370,1144284,1144286,1144287,1144290,1144294,1144298,1144302,1144306,1144310,1144314,1144318,1144322,2187751,2187754,2187755,2187758,2187762,2187766,2187770,2187774,2187778,2187782,2187786,4500012
!,testbench.rQueryData[31:0],bx,bx,b1101,b1101,b1101,b1101,b1101,b1101,b1101,b1101,b1101,b1101,b1101,b1101,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11,b11
"""",testbench.dut_if0.checker_start,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b1101,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b110,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b11,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b1101,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b110,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b11,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
