vid,var,0,10,952876,952878,952879,952882,952886,952890,952894,952898,952902,1911762,1911763,1911766,1911770,1911774,1911778,1911782,1911786,1911790,2954911,2954914,2954915,2954918,2954922,4500012
!,testbench.rQueryData[31:0],bx,bx,b101,b101,b101,b101,b101,b101,b101,b101,b101,b1010,b1010,b1010,b1010,b1010,b1010,b1010,b1010,b1010,b1,b1,b1,b1,b1,b1
"""",testbench.dut_if0.checker_start,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b0,b101,b101,b10000,b1000,b100,b10,b1,b0,b1010,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b1,b1,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b0,b101,b101,b10000,b1000,b100,b10,b1,b0,b1010,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b1,b1,b1,b0,b0
