vid,var,0,10,248726,248727,248730,248734,248738,248742,248746,248750,248754,1275277,1275278,1275279,1275282,1275286,1275290,1275294,1275298,1275302,1275306,1275310,2242922,2242923,2242926,2242930,2242934,2242938,2242942,2242946,2242950,2242954,2242958,2242962,2242966,2242970,2242974,2242978,2242982,2242986,2242990,2242994,2242998,2243002,4500012
!,testbench.rQueryData[31:0],bx,bx,b1010,b1010,b1010,b1010,b1010,b1010,b1010,b1010,b1010,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b10101,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001,b1001
"""",testbench.dut_if0.checker_start,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b1010,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10101,b10101,b1000000,b100000,b10000,b1000,b100,b10,b1,b0,b1001,b1001,b11100,b1110,b111,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b1010,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10101,b10101,b1000000,b100000,b10000,b1000,b100,b10,b1,b0,b1001,b1001,b11100,b1110,b111,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
