vid,var,0,10,624189,624190,624191,624194,624198,624202,624206,624210,624214,624218,624222,624226,1542889,1542890,1542891,1542894,1542898,1542902,1542906,1542910,2623193,2623194,2623195,2623198,2623202,2623206,2623210,2623214,2623218,2623222,2623226,2623230,2623234,2623238,2623242,2623246,2623250,2623254,2623258,2623262,4500012
!,testbench.rQueryData[31:0],bx,bx,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b110,b10000,b10000,b10000,b10000,b10000,b10000,b10000,b10000,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111,b111
"""",testbench.dut_if0.checker_start,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b0,b110,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10000,b10000,b1000,b100,b10,b1,b0,b0,b111,b111,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b0,b110,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10000,b10000,b1000,b100,b10,b1,b0,b0,b111,b111,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
