vid,var,0,10,298627,298630,298631,298634,298638,1258270,1258271,1258274,1258278,1258282,1258286,1258290,1258294,1258298,1258302,1258306,1258310,2296605,2296606,2296607,2296610,2296614,2296618,2296622,2296626,2296630,2296634,2296638,4500012
!,testbench.rQueryData[31:0],bx,bx,b1,b1,b1,b1,b1,b1100,b1100,b1100,b1100,b1100,b1100,b1100,b1100,b1100,b1100,b1100,b1100,b10100,b10100,b10100,b10100,b10100,b10100,b10100,b10100,b10100,b10100,b10100,b10100
"""",testbench.dut_if0.checker_start,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b0,b1,b1,b1,b0,b1100,b1100,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10100,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b0,b1,b1,b1,b0,b1100,b1100,b110,b11,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0,b10100,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
