vid,var,0,10,836442,836443,836446,836450,836454,1840483,1840486,1840487,1840490,1840494,1840498,1840502,1840506,1840510,1840514,1840518,1840522,1840526,1840530,1840534,1840538,2858710,2858711,2858714,2858718,2858722,2858726,2858730,2858734,2858738,2858742,2858746,2858750,2858754,2858758,2858762,2858766,2858770,2858774,2858778,2858782,2858786,2858790,2858794,4500012
!,testbench.rQueryData[31:0],bx,bx,b100,b100,b100,b100,b100,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10001,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010,b10010
"""",testbench.dut_if0.checker_start,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#,testbench.dut_if0.checker_end,x,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
$,testbench.dut_if0.checker_run,x,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
%,testbench.dut_if0.checker_rtl[31:0],bx,b0,b100,b100,b10,b1,b0,b0,b10001,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b10010,b10010,b1001,b11100,b1110,b111,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
&,testbench.dut_if0.checker_lls[31:0],bx,b0,b100,b100,b10,b1,b0,b0,b10001,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b10010,b10010,b1001,b11100,b1110,b111,b10110,b1011,b100010,b10001,b110100,b11010,b1101,b101000,b10100,b1010,b101,b10000,b1000,b100,b10,b1,b0,b0
